Nome Completo;Nome Urna;Cargo;Número;Partido
ALTINO DE MELO PRAZERES JUNIOR;ALTINO;Governador;16;PSTU
ANTONIO JORGE FILHO;ANTONIO JORGE;Governador;27;DC
CAROLINA REJAILI VIGLIAR;CAROL VIGLIAR;Governador;80;UP
EDSON DORTA SILVA;EDSON DORTA;Governador;29;PCO
ELVIS LEONARDO CEZAR;ELVIS CEZAR;Governador;12;PDT
FERNANDO HADDAD;FERNANDO HADDAD;Governador;13;PT
GABRIEL MAURILIO COLOMBO DE FREITAS;GABRIEL COLOMBO;Governador;21;PCB
RODRIGO GARCIA;RODRIGO GARCIA;Governador;45;PSDB
TARCISIO GOMES DE FREITAS;TARCÍSIO;Governador;10;REPUBLICANOS
VINICIUS LAZZER POIT;VINICIUS POIT;Governador;30;NOVO
ABDULBASET JAROUR;ABDUL JAROUR;Deputado Estadual;40999;PSB
ABELARDO WANDERLINO DA COSTA NETO;ABELARDO;Deputado Estadual;10110;REPUBLICANOS
ABIDAN HENRIQUE DA SILVA;ABIDAN HENRIQUE;Deputado Estadual;40321;PSB
ABNER DELUQUI ISIDORO;ABNER ISIDORO;Deputado Estadual;10345;REPUBLICANOS
VITOR ABOU ANNI;ABOU ANNI FILHO;Deputado Estadual;44100;UNIÃO
ADA HENRIQUE XAVIER;ADA XAVIER;Deputado Estadual;14125;PTB
ADALBERTO GODOY FREITAS;ADALBERTO FREITAS;Deputado Estadual;45888;PSDB
JOSE CARLOS ADAO;ADÃO;Deputado Estadual;55844;PSD
ADÃO DA SILVA;ADÃO DA SILVA;Deputado Estadual;90789;PROS
ADENILDES ALVES ROCHA;ADÊ ROCHA;Deputado Estadual;77048;SOLIDARIEDADE
ADÉLIA OLIVEIRA DE FARIAS;ADÉLIA;Deputado Estadual;13066;PT
ADELMACIR DE SOUZA;ADELMO JUNIOR;Deputado Estadual;35330;PMB
ADENILSON PEREIRA DE AMORIM;ADENILSON AMORIM;Deputado Estadual;44770;UNIÃO
ADENILTON FERREIRA DA SILVA;ADENILTON FERREIRA;Deputado Estadual;77800;SOLIDARIEDADE
ADILSON DOS SANTOS;ADILSON DOS SANTOS;Deputado Estadual;16789;PSTU
ADILSON DE SOUZA ROCHA;ADILSON JACARÉ;Deputado Estadual;77040;SOLIDARIEDADE
ADMILSON DE SOUZA;ADMILSON DAS LOTÉRICAS;Deputado Estadual;44190;UNIÃO
ADONAI DOS SANTOS SOARES JÚNIOR;ADONAI;Deputado Estadual;70567;AVANTE
ADRIANA SANTOS BARRENHA;ADRIANA BARRENHA;Deputado Estadual;36203;AGIR
ADRIANA SANCHES GALDEANO BORGO;ADRIANA BORGO;Deputado Estadual;36190;AGIR
ADRIANA COELHO DE OLIVEIRA;ADRIANA COELHO PRETA PRETINHA;Deputado Estadual;33065;PMN
ADRIANA APARECIDA FELIX;ADRIANA DO HOSPITAL;Deputado Estadual;11611;PP
ADRIANA SCANAVEZ DOS SANTOS;ADRIANA DO POVO DA CULTURA;Deputado Estadual;50456;PSOL
ADRIANA GLEDYS ZINK;ADRIANA GLEDYS ZINK;Deputado Estadual;45333;PSDB
ADRIANA GOMES;ADRIANA GOMES;Deputado Estadual;12033;PDT
ANDROMEDES BARBOSA OKABE;ADRIANA OKABE;Deputado Estadual;22058;PL
ADRIANA NOGUEIRA DO PRADO;ADRIANA PRADO;Deputado Estadual;51350;PATRIOTA
ADRIANA RANGEL RIBEIRO;ADRIANA RANGEL;Deputado Estadual;35361;PMB
ADRIANA SOUZA DOS SANTOS PEREIRA;ADRIANA SOUZA;Deputado Estadual;70345;AVANTE
ADRIANO BEDORE;ADRIANO BEDORE;Deputado Estadual;45450;PSDB
ADRIANO DE BARROS CARUSO;ADRIANO DE BARROS CARUSO;Deputado Estadual;14128;PTB
FRANCISCO ADRIANO MACENA DE ALMEIDA;ADRIANO MACENA (CHEIRINHO);Deputado Estadual;28655;PRTB
EWERTON DA SILVA CARVALHO;ADVOGADO EWERTON;Deputado Estadual;65000;PC do B
